Russia;Saudi Arabia;1.44;4.30;9.00
Egypt;Uruguay;7.00;3.70;1.60
Russia;Egypt;2.07;3.25;4.00
Uruguay;Saudi Arabia;1.22;6.25;16.00
Uruguay;Russia;2.30;3.25;3.40
Saudi Arabia;Egypt;5.30;3.50;1.78
Morocco;Iran;2.30;2.95;3.85
Portugal;Spain;4.40;3.30;1.91
Portugal;Morocco;1.62;3.70;6.25
Iran;Spain;21.00;6.25;1.19
Iran;Portugal;9.50;4.60;1.42
Spain;Morocco;1.36;4.70;11.50
France;Australia;1.25;6.50;13.50
Peru;Denmark;3.20;3.20;2.40
Denmark;Australia;1.68;3.70;5.50
France;Peru;1.42;4.60;8.50
Australia;Peru;3.70;3.25;2.10
Denmark;France;5.60;3.90;1.67
Argentina;Island;1.34;4.90;12.00
Croatia;Nigeria;1.70;3.60;5.75
Argentina;Croatia;1.95;3.40;4.30
Nigeria;Island;2.60;3.20;3.00
Nigeria;Argentina;7.50;4.30;1.48
Island;Croatia;4.80;3.60;1.83
Costa Rica;Serbia;4.80;3.30;1.85
Brazil;Switzerland;1.40;4.60;8.75
Brazil;Costa Rica;1.20;6.50;17.00
Serbia;Switzerland;3.00;3.10;2.60
Serbia;Brazil;9.25;5.00;1.36
Switzerland;Costa Rica;1.95;3.30;4.50
Germany;Mexico;1.48;4.30;7.50
Sweden;South Korea;2.05;3.20;4.00
South Korea;Mexico;4.75;3.50;1.83
Germany;Sweden;1.44;4.50;8.00
Mexico;Sweden;2.50;3.25;3.00
South Korea;Germany;13.00;5.60;1.30
Belgium;Panama;1.17;7.00;22.00
Tunisia;England;9.75;4.50;1.42
Belgium;Tunisia;1.32;5.30;11.00
England;Panama;1.20;6.50;18.50
England;Belgium;2.95;3.30;2.45
Panama;Tunisia;3.65;3.25;2.20
Colombia;Japan;1.70;3.55;5.75
Poland;Senegal;2.35;3.20;3.30
Japan;Senegal;3.60;3.30;2.15
Poland;Colombia;3.40;3.20;2.30
Senegal;Colombia;4.00;3.30;2.05
Japan;Poland;4.30;3.50;1.90
