Russia;Saudi Arabia;1.43;4.40;9.25
Egypt;Uruguay;6.80;3.60;1.60
Russia;Egypt;2.05;3.25;4.10
Uruguay;Saudi Arabia;1.22;6.25;16.50
Russia;Uruguay;2.40;3.15;3.35
Saudi Arabia;Egypt;5.25;3.60;1.73
Morocco;Iran;2.28;2.95;3.85
Portugal;Spain;4.50;3.40;1.91
Portugal;Morocco;1.65;3.70;6.25
Iran;Spain;18.50;6.20;1.20
Spain;Morocco;9.25;4.60;1.42
Iran;Portugal;1.36;4.70;11.50
France;Australia;1.22;6.50;15.00
Peru;Denmark;3.15;3.30;2.40
Denmark;Australia;1.72;3.70;5.25
France;Peru;1.42;5.00;8.50
Australia;Peru;3.70;3.25;2.15
Denmark;France;5.60;3.90;1.67
Argentina;Island;1.30;4.80;13.50
Croatia;Nigeria;1.70;3.60;5.60
Argentina;Croatia;1.95;3.40;4.20
Nigeria;Island;2.70;3.20;2.92
Nigeria;Argentina;7.25;4.30;1.50
Island;Croatia;4.80;3.60;1.83
Costa Rica;Serbia;4.60;3.25;1.95
Brazil;Switzerland;1.41;4.60;8.75
Brazil;Costa Rica;1.22;6.50;15.00
Serbia;Switzerland;3.00;3.10;2.60
Serbia;Brazil;8.75;5.00;1.38
Switzerland;Costa Rica;1.95;3.30;4.50
Germany;Mexico;1.48;4.25;7.25
Sweden;South Korea;2.03;3.20;4.20
Germany;Sweden;4.50;3.50;1.87
South Korea;Mexico;1.44;4.50;8.00
South Korea;Germany;2.50;3.25;3.00
Mexico;Sweden;14.00;5.50;1.28
Belgium;Panama;1.17;7.25;20.00
Tunisia;England;9.75;4.50;1.40
Belgium;Tunisia;1.30;5.50;11.25
England;Panama;1.19;6.50;18.00
Panama;Tunisia;3.00;3.30;2.45
England;Belgium;3.55;3.20;2.25
Colombia;Japan;1.70;3.55;5.75
Poland;Senegal;2.30;3.20;3.30
Japan;Senegal;3.60;3.30;2.18
Poland;Colombia;3.40;3.20;2.35
Japan;Poland;4.10;3.30;2.02
Senegal;Colombia;4.25;3.50;1.90
